timestamp,features_used,model,rmse,mae,mape,notes
2026-08-13 00:35,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, holiday_中元_day, holiday_中元_dist, holiday_清明_day, holiday_清明_dist, holiday_雙十_day, holiday_雙十_dist, holiday_中秋_day, holiday_中秋_dist, holiday_七夕_day, holiday_七夕_dist, holiday_冬至_day, holiday_冬至_dist, holiday_春節_day, holiday_春節_dist, avg_temp",RNN,431.8,289.1,11.16,精簡版基準(7節日)+avg_temp(當天/模擬預報值)，在新基準上重測天氣特徵
2026-08-13 00:35,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, holiday_中元_day, holiday_中元_dist, holiday_清明_day, holiday_清明_dist, holiday_雙十_day, holiday_雙十_dist, holiday_中秋_day, holiday_中秋_dist, holiday_七夕_day, holiday_七夕_dist, holiday_冬至_day, holiday_冬至_dist, holiday_春節_day, holiday_春節_dist, avg_temp",LSTM,423.1,279.3,10.79,精簡版基準(7節日)+avg_temp(當天/模擬預報值)，在新基準上重測天氣特徵
2026-08-13 00:37,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, holiday_中元_day, holiday_中元_dist, holiday_清明_day, holiday_清明_dist, holiday_雙十_day, holiday_雙十_dist, holiday_中秋_day, holiday_中秋_dist, holiday_七夕_day, holiday_七夕_dist, holiday_冬至_day, holiday_冬至_dist, holiday_春節_day, holiday_春節_dist, avg_humidity",RNN,434.7,288.5,10.94,精簡版基準(7節日)+avg_humidity(當天/模擬預報值)，在新基準上重測天氣特徵
2026-08-13 00:37,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, holiday_中元_day, holiday_中元_dist, holiday_清明_day, holiday_清明_dist, holiday_雙十_day, holiday_雙十_dist, holiday_中秋_day, holiday_中秋_dist, holiday_七夕_day, holiday_七夕_dist, holiday_冬至_day, holiday_冬至_dist, holiday_春節_day, holiday_春節_dist, avg_humidity",LSTM,435.8,279.0,10.42,精簡版基準(7節日)+avg_humidity(當天/模擬預報值)，在新基準上重測天氣特徵
2026-08-13 00:39,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, holiday_中元_day, holiday_中元_dist, holiday_清明_day, holiday_清明_dist, holiday_雙十_day, holiday_雙十_dist, holiday_中秋_day, holiday_中秋_dist, holiday_七夕_day, holiday_七夕_dist, holiday_冬至_day, holiday_冬至_dist, holiday_春節_day, holiday_春節_dist, rainfall",RNN,434.9,293.0,11.24,精簡版基準(7節日)+rainfall(當天/模擬預報值)，在新基準上重測天氣特徵
2026-08-13 00:39,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, holiday_中元_day, holiday_中元_dist, holiday_清明_day, holiday_清明_dist, holiday_雙十_day, holiday_雙十_dist, holiday_中秋_day, holiday_中秋_dist, holiday_七夕_day, holiday_七夕_dist, holiday_冬至_day, holiday_冬至_dist, holiday_春節_day, holiday_春節_dist, rainfall",LSTM,414.7,264.9,9.93,精簡版基準(7節日)+rainfall(當天/模擬預報值)，在新基準上重測天氣特徵
2026-08-13 00:42,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, holiday_中元_day, holiday_中元_dist, holiday_清明_day, holiday_清明_dist, holiday_雙十_day, holiday_雙十_dist, holiday_中秋_day, holiday_中秋_dist, holiday_七夕_day, holiday_七夕_dist, holiday_冬至_day, holiday_冬至_dist, holiday_春節_day, holiday_春節_dist, rain_flag, rainfall",RNN,439.3,287.7,10.74,精簡版基準(7節日)+rain_flag+rainfall(同時使用)，測試能否進一步突破9.93%
2026-08-13 00:42,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, holiday_中元_day, holiday_中元_dist, holiday_清明_day, holiday_清明_dist, holiday_雙十_day, holiday_雙十_dist, holiday_中秋_day, holiday_中秋_dist, holiday_七夕_day, holiday_七夕_dist, holiday_冬至_day, holiday_冬至_dist, holiday_春節_day, holiday_春節_dist, rain_flag, rainfall",LSTM,419.6,263.3,9.81,精簡版基準(7節日)+rain_flag+rainfall(同時使用)，測試能否進一步突破9.93%
2026-08-13 01:01,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, holiday_中元_day, holiday_中元_dist, holiday_清明_day, holiday_清明_dist, holiday_雙十_day, holiday_雙十_dist, holiday_中秋_day, holiday_中秋_dist, holiday_七夕_day, holiday_七夕_dist, holiday_冬至_day, holiday_冬至_dist, holiday_春節_day, holiday_春節_dist, rain_flag, rainfall",RNN,437.6,286.4,10.72,最終確認：7節日+rain_flag+rainfall，DROPOUT=0.3(超參數搜尋最佳組合)
2026-08-13 01:01,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, holiday_中元_day, holiday_中元_dist, holiday_清明_day, holiday_清明_dist, holiday_雙十_day, holiday_雙十_dist, holiday_中秋_day, holiday_中秋_dist, holiday_七夕_day, holiday_七夕_dist, holiday_冬至_day, holiday_冬至_dist, holiday_春節_day, holiday_春節_dist, rain_flag, rainfall",LSTM,418.9,266.7,9.99,最終確認：7節日+rain_flag+rainfall，DROPOUT=0.3(超參數搜尋最佳組合)
2026-08-14 03:17,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, holiday_中元_day, holiday_中元_dist, holiday_清明_day, holiday_清明_dist, holiday_雙十_day, holiday_雙十_dist, holiday_中秋_day, holiday_中秋_dist, holiday_七夕_day, holiday_七夕_dist, holiday_冬至_day, holiday_冬至_dist, holiday_春節_day, holiday_春節_dist, rain_flag, rainfall",RNN,439.3,287.7,10.74,最終確定版本：7節日+rain_flag+rainfall，DROPOUT=0.2(已驗證優於0.3)，正式採用此組合
